98, 74
39, 19
21, 59
46, 46
71, 87
67, 45
84, 93
96, 12

96, 44
41, 98
47, 33
82, 26
3, 46
33, 65
99, 91
36, 56

87, 32
87, 22
38, 74
16, 28
69, 4
43, 13
62, 44
9, 8

64, 16
1, 70
92, 33
97, 44
39, 37
85, 55
32, 18
15, 66

99, 24
30, 60
59, 2
32, 40
98, 81
53, 49
61, 95
85, 52

72, 31
23, 60
6, 82
79, 1
6, 1
35, 100
57, 12
95, 33

81, 51
8, 88
93, 38
90, 58
89, 40
41, 1
74, 85
81, 87

43, 27
59, 75
29, 93
85, 69
34, 56
47, 13
94, 67
90, 0

93, 89
81, 71
32, 65
49, 63
82, 77
26, 14
12, 17
65, 26

1, 42
84, 21
22, 50
26, 85
42, 30
67, 8
31, 67
91, 56

